player_id,player_name,fifa_overall,fifa_potential,fifa_passing,fifa_dribbling,fifa_vision,fifa_reactions,fifa_shooting,fifa_pace,fifa_physic,fifa_defending
3548,Angelo Fulgini,76,79,75.0,78.0,78,75,70.0,73.0,73.0,69.0
35592,Anis Ben Slimane,67,74,62.0,69.0,67,68,59.0,66.0,75.0,58.0
47619,Anthony Rouault,73,84,60.0,56.0,48,73,30.0,60.0,73.0,73.0
5487,Antoine Griezmann,84,84,83.0,85.0,85,85,83.0,78.0,73.0,57.0
25363,Antony Matheus dos Santos,82,88,75.0,86.0,79,77,75.0,90.0,70.0,46.0
7801,Antonín Barák,81,81,80.0,81.0,83,80,79.0,74.0,75.0,65.0
5665,Arkadiusz Milik,80,80,72.0,76.0,76,76,83.0,61.0,73.0,40.0
12411,Arne Maier,75,81,72.0,75.0,77,75,61.0,70.0,72.0,69.0
23658,Aurélio Gabriel Ulineia Buta,72,75,66.0,74.0,67,67,59.0,93.0,68.0,64.0
48543,Benedict Hollerbach,65,69,56.0,66.0,58,62,64.0,73.0,70.0,27.0
3193,Bernardo Mota Veiga de Carvalho e Silva,88,88,84.0,92.0,85,87,78.0,74.0,68.0,66.0
20611,Boulaye Dia,79,82,62.0,76.0,65,76,78.0,83.0,76.0,27.0
132418,Bradley Locko,71,80,61.0,68.0,52,65,51.0,75.0,67.0,68.0
363583,Brajan Gruda,59,77,53.0,63.0,51,51,63.0,67.0,49.0,28.0
5545,Breel-Donald Embolo,78,81,70.0,74.0,72,76,76.0,84.0,82.0,51.0
24243,Brenden Aaronson,75,83,70.0,79.0,76,71,66.0,81.0,63.0,54.0
5204,Bruno Miguel Borges Fernandes,86,86,87.0,81.0,90,91,86.0,72.0,76.0,68.0
22084,Bukayo Saka,83,90,78.0,84.0,82,82,74.0,85.0,65.0,65.0
26297,Carlos Alberto Rodríguez Gómez,76,79,73.0,78.0,76,73,67.0,77.0,67.0,66.0
6583,Carlos Soler Barragán,83,86,83.0,80.0,85,83,77.0,80.0,72.0,71.0
6971,Cengiz Ünder,78,81,77.0,78.0,79,76,75.0,79.0,51.0,38.0
88123,Cheikh Ahmadou Bamba Mbacke Dieng,74,81,60.0,71.0,64,69,75.0,82.0,62.0,33.0
23614,Chris Führich,74,78,70.0,77.0,72,68,67.0,83.0,59.0,54.0
3043,Christian Dannemann Eriksen,83,83,88.0,81.0,87,81,78.0,61.0,56.0,53.0
7097,Christian Nørgaard,76,76,69.0,69.0,65,73,60.0,60.0,78.0,76.0
24977,Christoph Baumgartner,78,84,73.0,80.0,78,77,72.0,75.0,57.0,44.0
20750,Cody Mathès Gakpo,83,88,77.0,84.0,79,81,82.0,85.0,73.0,42.0
39461,Cole Palmer,66,83,62.0,70.0,63,58,66.0,76.0,57.0,46.0
16459,Cyle Larin,72,73,64.0,67.0,67,72,71.0,72.0,77.0,27.0
45190,Dan Ndoye,69,80,63.0,71.0,64,64,64.0,81.0,61.0,45.0
16532,Daniel Olmo Carvajal,82,87,81.0,86.0,83,83,76.0,67.0,59.0,50.0
28616,Daniel-Kofi Kyereh,75,78,66.0,81.0,71,74,72.0,81.0,62.0,24.0
9922,David Junior Hoilett,71,71,67.0,74.0,68,67,69.0,79.0,64.0,48.0
4318,Davy Klaassen,78,78,74.0,76.0,78,80,80.0,55.0,77.0,73.0
8623,Dejan Ljubicic,76,79,71.0,75.0,74,76,70.0,78.0,78.0,72.0
5538,Denis Lemi Zakaria Lako Lado,81,86,73.0,77.0,73,82,64.0,82.0,84.0,80.0
131243,Deniz Undav,76,79,71.0,75.0,78,74,80.0,68.0,73.0,32.0
7015,Dennis Praet,78,78,78.0,79.0,79,77,72.0,66.0,65.0,63.0
3491,Dimitri Payet,80,80,82.0,81.0,85,75,77.0,70.0,65.0,40.0
9929,Diogo José Teixeira da Silva,85,88,75.0,85.0,77,87,83.0,85.0,77.0,57.0
16026,Djibril Sow,80,82,77.0,78.0,78,78,69.0,77.0,80.0,77.0
21209,Dominik Szoboszlai,81,87,82.0,81.0,82,76,81.0,80.0,63.0,34.0
5630,Dries Mertens,84,84,80.0,86.0,83,80,80.0,79.0,48.0,39.0
3831,Dušan Tadić,83,83,86.0,83.0,88,83,81.0,67.0,76.0,43.0
18015,Dušan Vlahović,84,91,66.0,79.0,68,85,85.0,80.0,81.0,29.0
3621,Eden Hazard,84,84,82.0,87.0,84,77,79.0,83.0,63.0,35.0
3913,Edimilson Fernandes,73,75,69.0,73.0,62,76,65.0,68.0,68.0,76.0
24723,Edon Zhegrova,74,81,68.0,78.0,70,70,67.0,79.0,60.0,25.0
4872,Eduard Sobol,73,74,67.0,70.0,65,69,64.0,77.0,72.0,70.0
29786,Elbasan Rashani,71,71,62.0,71.0,67,70,65.0,81.0,66.0,39.0
45114,Eliot Matazo,73,83,70.0,75.0,74,69,58.0,73.0,75.0,67.0
16535,Eljif Elmas,78,85,74.0,83.0,74,73,71.0,76.0,69.0,66.0
5625,Emil Peter Forsberg,80,80,82.0,82.0,83,83,73.0,68.0,62.0,35.0
28559,Enner Remberto Valencia Lastra,77,77,67.0,75.0,65,73,76.0,87.0,78.0,48.0
24959,Enzo Le Fée,76,83,77.0,78.0,79,73,56.0,60.0,49.0,60.0
45115,Enzo Millot,67,79,66.0,71.0,67,64,60.0,65.0,42.0,52.0
28346,Eric Junior Dina Ebimbe,74,79,70.0,75.0,71,74,60.0,81.0,75.0,68.0
92611,Ernest Muçi,65,76,59.0,68.0,64,64,67.0,79.0,57.0,20.0
8561,Fabian Frei,69,69,70.0,68.0,68,67,69.0,51.0,70.0,71.0
50436,Fabian Rieder,70,83,70.0,73.0,75,52,68.0,70.0,61.0,50.0
217047,Fares Chaïbi,70,83,69.0,71.0,73,69,64.0,73.0,71.0,67.0
7117,Filip Đuričić,75,75,74.0,78.0,77,74,69.0,71.0,60.0,42.0
3070,Florent Mollet,75,75,76.0,77.0,77,74,74.0,70.0,64.0,51.0
40724,Florian Wirtz,82,91,80.0,86.0,85,80,73.0,78.0,60.0,51.0
22390,Francisco António Machado Mota de Castro Trincão,76,83,70.0,81.0,74,78,72.0,78.0,59.0,39.0
39624,Francisco Fernandes Conceição,73,86,66.0,80.0,69,67,61.0,81.0,42.0,32.0
3567,Georginio Wijnaldum,80,80,77.0,80.0,79,78,71.0,69.0,78.0,77.0
31152,Gonzalo Jordy Plata Jiménez,77,86,69.0,82.0,73,75,69.0,88.0,65.0,43.0
18244,Grady Diangana,70,76,63.0,73.0,67,67,60.0,83.0,57.0,27.0
7367,Grejohn Kyei,69,70,51.0,66.0,49,69,65.0,64.0,80.0,26.0
106391,Habib Keita,68,79,64.0,71.0,66,64,57.0,70.0,66.0,62.0
7039,Hakan Çalhanoğlu,84,84,85.0,86.0,86,84,80.0,67.0,64.0,68.0
4308,Houssem Aouar,78,83,77.0,83.0,82,76,69.0,71.0,68.0,64.0
50429,Hugo Ekitike,76,85,60.0,76.0,63,76,75.0,74.0,69.0,25.0
3436,Idrissa Gana Gueye,82,82,71.0,78.0,70,81,66.0,67.0,76.0,83.0
80484,Iliman Ndiaye,71,81,62.0,76.0,66,67,68.0,81.0,57.0,33.0
105848,Ismaël Gharbi,64,78,60.0,72.0,64,55,55.0,68.0,38.0,40.0
5470,Ivan Rakitić,82,82,85.0,78.0,85,80,79.0,53.0,68.0,75.0
9638,Jack Grealish,84,84,83.0,87.0,86,81,76.0,76.0,69.0,46.0
5623,Jae-Sung Lee,76,76,75.0,81.0,80,76,64.0,68.0,61.0,57.0
31955,Jakub Kamiński,74,84,66.0,77.0,71,60,67.0,89.0,58.0,47.0
39565,Jamal Musiala,83,92,74.0,89.0,79,84,72.0,80.0,60.0,63.0
28805,Jamie Leweling,72,81,61.0,77.0,59,71,71.0,82.0,69.0,33.0
7410,Jason Berthomier,74,74,76.0,75.0,75,75,70.0,65.0,59.0,51.0
19718,Jean-Ricner Bellegarde,75,80,72.0,76.0,74,75,62.0,78.0,71.0,70.0
32712,Jeremie Frimpong,81,87,74.0,84.0,78,76,56.0,94.0,70.0,74.0
23650,Jeremy Doku,75,85,66.0,80.0,71,70,65.0,91.0,64.0,25.0
27569,Jesper Lindstrøm,77,84,70.0,81.0,78,70,73.0,87.0,63.0,48.0
40707,Jessic Ngankam,69,79,59.0,70.0,53,67,68.0,74.0,70.0,26.0
21633,Joey Veerman,78,83,81.0,78.0,84,75,70.0,63.0,74.0,65.0
9974,John McGinn,78,78,75.0,77.0,76,78,74.0,69.0,81.0,73.0
8804,Jonas Hofmann,81,81,80.0,80.0,81,83,76.0,73.0,72.0,64.0
21261,Jonas Older Wind,76,81,70.0,74.0,76,73,74.0,66.0,80.0,36.0
3168,João Filipe Iria Santos Moutinho,79,79,81.0,78.0,81,71,69.0,43.0,64.0,68.0
12041,João Félix Sequeira,83,89,80.0,87.0,85,81,80.0,82.0,67.0,40.0
30714,Jude Bellingham,85,91,79.0,84.0,84,85,75.0,72.0,80.0,78.0
3186,Julian Draxler,79,79,80.0,82.0,81,78,76.0,72.0,65.0,58.0
40558,Jun-Ho Son,73,73,69.0,70.0,72,67,62.0,70.0,76.0,67.0
8966,Kai Havertz,84,91,79.0,84.0,82,84,79.0,81.0,68.0,45.0
22740,Kang-In Lee,76,83,77.0,79.0,78,68,72.0,75.0,58.0,30.0
3089,Kevin De Bruyne,91,91,93.0,87.0,94,91,88.0,74.0,77.0,63.0
12303,Kevin Stöger,74,74,79.0,75.0,80,78,68.0,56.0,63.0,46.0
8217,Kingsley Coman,86,87,79.0,87.0,81,86,77.0,92.0,61.0,30.0
8506,Konrad Laimer,83,84,78.0,79.0,78,80,68.0,80.0,78.0,81.0
3009,Kylian Mbappé Lottin,91,95,80.0,92.0,83,93,89.0,97.0,76.0,36.0
16559,Leandro Trossard,80,80,76.0,83.0,77,76,79.0,82.0,62.0,30.0
6324,Leon Goretzka,87,88,82.0,83.0,84,87,82.0,78.0,86.0,81.0
29227,Leonidas Stergiou,67,84,46.0,50.0,41,70,32.0,79.0,71.0,67.0
3053,Leroy Sané,84,84,80.0,85.0,81,82,81.0,90.0,66.0,38.0
5503,Lionel Andrés Messi Cuccittini,91,91,90.0,94.0,94,92,89.0,81.0,64.0,34.0
22600,Lucas Tolentino Coelho de Lima,82,87,79.0,85.0,82,81,77.0,72.0,77.0,69.0
3235,Ludovic Blas,79,83,77.0,82.0,78,73,77.0,73.0,64.0,58.0
24272,Luis Milla Manzanares,79,79,77.0,75.0,78,79,72.0,70.0,74.0,75.0
6319,Luka Jović,79,83,68.0,78.0,70,80,78.0,74.0,73.0,29.0
39490,Luka Sučić,74,85,74.0,75.0,75,69,70.0,75.0,64.0,49.0
11383,László Bénes,73,77,78.0,74.0,76,72,70.0,60.0,61.0,47.0
8518,Marcel Sabitzer,81,81,80.0,79.0,80,80,80.0,69.0,76.0,69.0
7025,Marek Hamšík,79,79,82.0,80.0,83,76,77.0,64.0,70.0,71.0
5834,Mario Gavranović,73,73,60.0,72.0,61,70,74.0,62.0,65.0,38.0
8227,Mario Götze,82,82,83.0,84.0,86,81,75.0,67.0,67.0,55.0
11603,Mario Pašalić,81,81,76.0,81.0,77,78,79.0,75.0,77.0,67.0
22041,Marko Livaja,77,77,70.0,78.0,77,75,78.0,78.0,82.0,38.0
4447,Martin Braithwaite Christensen,77,77,72.0,80.0,74,76,75.0,82.0,75.0,34.0
7843,Mason Mount,83,86,84.0,82.0,82,85,81.0,74.0,67.0,55.0
31093,Mateo Retegui,75,83,64.0,69.0,67,71,76.0,72.0,76.0,36.0
32649,Mathis Rayan Cherki,73,88,70.0,82.0,68,69,67.0,71.0,60.0,21.0
7345,Mattéo Guendouzi Olié,80,86,79.0,78.0,82,79,68.0,76.0,81.0,77.0
39143,Matěj Jurásek,66,79,59.0,68.0,60,60,66.0,77.0,56.0,24.0
6987,Mauro Emanuel Icardi Rivero,78,78,64.0,72.0,72,76,79.0,67.0,68.0,35.0
142800,Medon Berisha,59,78,58.0,58.0,54,64,47.0,62.0,65.0,53.0
5226,Mehdi Taremi,82,82,76.0,81.0,85,84,80.0,78.0,73.0,38.0
22026,Michal Sadílek,75,80,70.0,73.0,65,72,61.0,73.0,78.0,72.0
16016,Michel Aebischer,75,78,75.0,75.0,74,71,65.0,71.0,74.0,65.0
3457,Michy Batshuayi Tunga,77,77,61.0,76.0,64,76,78.0,78.0,76.0,36.0
3042,Mikel Merino Zazón,83,86,81.0,82.0,81,84,78.0,73.0,81.0,82.0
24443,Mikkel Damsgaard,76,84,71.0,81.0,76,68,68.0,83.0,61.0,48.0
66886,Mostafa Mohamed Ahmed Abdallah,74,79,57.0,69.0,57,67,74.0,70.0,79.0,38.0
3091,Moussa Sissoko,76,76,71.0,72.0,64,74,61.0,68.0,84.0,73.0
32481,Muhammed Cham Saracevic,63,74,57.0,68.0,57,45,60.0,78.0,40.0,25.0
2948,Nabil Fekir,85,85,82.0,87.0,87,81,82.0,83.0,80.0,38.0
8403,Nadiem Amiri,77,79,77.0,81.0,76,75,72.0,67.0,68.0,55.0
41411,Nathan Tella,72,79,62.0,75.0,63,62,67.0,86.0,55.0,31.0
29962,Nathanaël Mbuku,72,81,70.0,78.0,72,65,66.0,77.0,53.0,35.0
54144,Nawaf Shaker Al Abid,70,70,71.0,72.0,75,63,70.0,53.0,54.0,45.0
3557,Naïm Sliti,73,73,69.0,78.0,72,71,69.0,70.0,67.0,34.0
32030,Nedim Bajrami,76,83,73.0,77.0,78,70,68.0,76.0,66.0,59.0
4320,Neymar da Silva Santos Junior,89,89,85.0,93.0,90,88,83.0,87.0,61.0,37.0
8546,Niclas Füllkrug,78,78,65.0,72.0,65,79,80.0,61.0,76.0,36.0
9201,Nikola Dovedan,69,69,61.0,74.0,56,67,66.0,80.0,59.0,34.0
3441,Nikola Vlašić,78,81,75.0,81.0,77,76,76.0,79.0,69.0,47.0
114833,Noah Mbamba,64,84,54.0,65.0,59,53,33.0,72.0,71.0,61.0
27826,Ondřej Lingr,74,79,69.0,76.0,70,70,73.0,78.0,78.0,44.0
26280,Orbelín Pineda Alvarado,75,76,70.0,79.0,70,70,75.0,81.0,66.0,62.0
22212,Orkun Kökçü,80,86,82.0,79.0,84,73,75.0,72.0,76.0,67.0
5477,Ousmane Dembélé,83,86,79.0,87.0,81,78,77.0,93.0,56.0,36.0
6720,Pablo Sarabia García,81,81,82.0,82.0,83,79,76.0,73.0,59.0,57.0
7044,Patrik Schick,84,86,71.0,83.0,74,82,82.0,78.0,76.0,36.0
30486,Pedro González López,85,92,81.0,87.0,88,85,67.0,79.0,74.0,68.0
23454,Petr Ševčík,76,76,77.0,78.0,79,72,71.0,74.0,73.0,69.0
4354,Phil Foden,85,92,83.0,88.0,85,83,78.0,82.0,60.0,57.0
4354,Philip Foden,85,92,83.0,88.0,85,83,78.0,82.0,60.0,57.0
3501,Philippe Coutinho Correia,81,81,81.0,86.0,83,80,77.0,62.0,57.0,52.0
38004,Piero Martín Hincapié Reyna,78,85,64.0,71.0,53,74,39.0,83.0,75.0,78.0
5660,Piotr Zieliński,83,83,81.0,86.0,84,81,77.0,81.0,62.0,70.0
18360,Rafael Alexandre Conceição Leão,84,90,73.0,86.0,74,83,77.0,91.0,74.0,27.0
3233,Raheem Sterling,85,85,78.0,86.0,80,89,79.0,90.0,67.0,45.0
24841,Ricard Puig Martí,75,83,73.0,80.0,80,73,64.0,65.0,49.0,58.0
9195,Robert Andrich,81,82,76.0,73.0,73,79,77.0,63.0,85.0,79.0
25104,Rodrygo Silva de Goes,81,88,74.0,84.0,73,78,77.0,88.0,61.0,32.0
19316,Roland Sallai,76,77,71.0,78.0,74,74,70.0,75.0,65.0,37.0
22319,Romain Faivre,77,83,76.0,79.0,78,75,73.0,74.0,67.0,62.0
8784,Romano Schmid,73,79,69.0,78.0,70,69,64.0,79.0,56.0,51.0
30401,Ruben Vargas,75,81,67.0,79.0,64,72,69.0,89.0,64.0,54.0
51632,Sami Khalil Al Naji,70,73,65.0,72.0,65,66,66.0,71.0,65.0,57.0
5492,Samuel Yves Umtiti,79,79,68.0,67.0,58,75,62.0,63.0,75.0,79.0
2974,Saîf-Eddine Khaoui,70,71,71.0,72.0,69,67,68.0,61.0,59.0,46.0
3620,Scott McTominay,80,83,74.0,75.0,74,77,74.0,63.0,86.0,78.0
5589,Sergej Milinković-Savić,86,87,82.0,82.0,83,84,80.0,68.0,86.0,79.0
6673,Sergio Canales Madrazo,84,84,85.0,83.0,90,84,79.0,83.0,72.0,68.0
10463,Sofiane Diop,78,84,75.0,83.0,78,76,72.0,71.0,54.0,54.0
7745,Steven Berghuis,82,82,83.0,82.0,83,80,82.0,78.0,68.0,40.0
5548,Steven Zuber,74,74,73.0,71.0,70,74,70.0,77.0,73.0,67.0
10285,Stuart Armstrong,76,76,73.0,76.0,72,77,77.0,70.0,71.0,65.0
24024,Tajon Buchanan,73,79,61.0,76.0,67,70,62.0,92.0,68.0,56.0
7891,Teun Koopmeiners,80,84,80.0,76.0,76,83,72.0,70.0,77.0,76.0
64629,Thabang Amod Monare,66,66,66.0,68.0,65,61,66.0,74.0,64.0,67.0
65726,Themba Zwane,75,75,71.0,76.0,80,72,69.0,78.0,63.0,49.0
5562,Thomas Müller,86,86,83.0,80.0,86,94,83.0,67.0,70.0,55.0
5632,Thorgan Hazard,78,78,78.0,83.0,77,78,74.0,68.0,64.0,53.0
21582,Tijjani Reijnders,74,79,74.0,76.0,76,74,70.0,79.0,70.0,66.0
3664,Trent Alexander-Arnold,86,89,89.0,80.0,90,83,69.0,76.0,72.0,79.0
11457,Vincent Sierro,69,70,65.0,65.0,70,70,59.0,65.0,73.0,61.0
34639,Vitor Machado Ferreira,79,89,79.0,83.0,80,74,68.0,73.0,55.0,67.0
8116,Václav Černý,72,75,63.0,74.0,67,66,66.0,91.0,54.0,33.0
22067,Woo-Yeong Jeong,72,77,66.0,77.0,70,69,63.0,80.0,63.0,36.0
7829,Wout Weghorst,79,79,60.0,69.0,67,81,77.0,59.0,87.0,52.0
39167,Xavi Simons,75,87,72.0,79.0,76,72,65.0,85.0,64.0,55.0
3533,Xherdan Shaqiri,76,76,79.0,79.0,80,75,75.0,69.0,62.0,45.0
5633,Yannick Ferreira Carrasco,84,84,79.0,86.0,80,79,81.0,88.0,66.0,54.0
7294,Yoane Wissa,75,76,65.0,76.0,68,70,74.0,86.0,68.0,28.0
22137,Yohann Magnin,70,73,62.0,70.0,67,70,55.0,68.0,61.0,69.0
2954,Youri Tielemans,84,86,86.0,79.0,86,83,80.0,56.0,73.0,70.0
11990,Youssouf Fofana,80,84,74.0,77.0,77,79,67.0,71.0,78.0,76.0
5536,Yussuf Yurary Poulsen,77,77,67.0,74.0,71,82,71.0,78.0,81.0,56.0
29989,Yusuf Yazıcı,76,80,77.0,79.0,77,74,77.0,67.0,70.0,48.0
4894,Zaydou Youssouf,72,78,70.0,76.0,71,67,58.0,64.0,73.0,64.0
24144,Ángel Montoro Sánchez,75,75,72.0,70.0,76,78,68.0,37.0,67.0,74.0
16212,Óscar Rodríguez Arnaiz,76,81,76.0,76.0,78,76,75.0,59.0,55.0,56.0
10287,İlkay Gündoğan,85,85,85.0,85.0,86,86,80.0,64.0,72.0,72.0
